FileName,BlockIndex,BottomIndent,LeftIndent,RightIndent,TopIndent,PixelsPerSymbol,Label
image-030,16,699,343,440,516,8.5,
image-030,17,734,415,260,456,7.8,
image-030,18,875,515,148,341,9.133333333333333,
image-030,19,840,416,172,371,8.40625,
image-030,20,793,518,146,423,9.066666666666666,
image-030,21,746,593,164,469,10.75,
image-030,22,841,703,69,370,9.333333333333334,
image-030,23,757,711,72,456,8.5,
image-030,24,734,712,68,479,10,
image-030,25,682,512,148,534,9.333333333333334,
image-030,26,652,147,513,562,9.333333333333334,
image-030,27,649,415,259,564,7.875,
image-030,28,650,582,177,567,8.2,
image-030,29,649,710,70,562,10,
image-030,30,618,45,632,597,7.6875,
image-030,31,619,219,534,598,9.4,
image-030,32,618,336,438,597,8.666666666666666,
image-030,33,601,206,525,615,8.625,
image-030,34,601,515,150,615,9,
image-030,35,522,44,631,633,7.578125,
image-030,36,502,45,680,713,7.5,
image-030,37,583,228,542,633,10,
image-030,38,531,221,515,684,9.142857142857142,
image-030,39,501,343,438,633,9.1,
image-030,40,531,414,259,662,8.01875,
image-030,41,492,416,303,724,8.1,
image-030,42,532,582,175,663,10.375,
image-030,43,490,585,172,724,10.75,
image-030,44,491,680,50,665,9.15625,
image-030,45,453,72,440,760,9,
image-030,46,440,132,505,777,8.578947368421053,
image-030,47,430,510,148,786,9.466666666666667,
image-030,48,405,44,631,810,7.8125,
image-030,49,390,218,533,811,8.283333333333333,
image-030,50,405,333,437,810,10,
image-030,51,387,415,262,825,7.6875,
image-030,52,387,519,261,827,10,
image-030,53,390,581,176,825,8.6,
image-030,54,389,695,76,821,14.5,
image-030,55,364,44,681,851,7.5,
image-030,56,324,45,680,892,7.5,
image-030,57,299,42,680,916,7.8,
image-030,58,349,211,520,850,9.0125,
image-030,59,308,232,522,906,11.5,
image-030,60,364,342,440,850,9,
image-030,61,323,343,440,891,8.5,
image-030,62,281,317,304,917,8.631578947368421,
image-030,63,338,512,151,878,9.133333333333333,
image-030,64,299,582,173,917,9,
image-030,65,283,571,162,934,8.375,
image-030,66,282,678,55,918,8.1875,
image-030,67,258,42,680,958,7.8,
